,V,i,si,sV
137,3.7,7.365053324e-08,2.641341519534461e-10,0.0137
138,3.8,7.476103346e-08,2.6743287637546706e-10,0.0138
139,3.9,7.575400522e-08,2.7037990535199057e-10,0.0139
140,4.0,7.676703919e-08,2.7338612440033224e-10,0.014
141,4.1,7.768538516e-08,2.7611354374544635e-10,0.0141
142,4.2,7.864633475e-08,2.7897096663164486e-10,0.0142
143,4.3,7.953242287e-08,2.8160432882112747e-10,0.0143
144,4.4,8.032331248000001e-08,2.839512170375753e-10,0.0144
145,4.5,8.117392105000001e-08,2.864809154773559e-10,0.0145
146,4.6,8.195468173e-08,2.8880112980576677e-10,0.0146
147,4.7,8.280634914e-08,2.913358296284349e-10,0.014700000000000001
148,4.8,8.358201981e-08,2.936409923730542e-10,0.0148
149,4.9,8.442073266e-08,2.9613512235029717e-10,0.0149
150,5.0,8.527718164e-08,2.986833266082266e-10,0.015
151,5.1,8.571910435e-08,2.999971781323996e-10,0.015099999999999999
152,5.2,8.645518508e-08,3.021895144592336e-10,0.015200000000000002
153,5.3,8.708553252e-08,3.04065862138778e-10,0.015300000000000001
154,5.4,8.805508807999999e-08,3.069517429373016e-10,0.0154
155,5.5,8.848890003999999e-08,3.0824190364116494e-10,0.0155
156,5.6,8.90926582e-08,3.1004325841752164e-10,0.0156
157,5.7,9.002456834e-08,3.1281699625858747e-10,0.0157
158,5.8,9.042517398e-08,3.1400613484722257e-10,0.0158
159,5.9,9.114488173e-08,3.1615427387008737e-10,0.0159
160,6.0,9.181707633e-08,3.18158770495532e-10,0.016
161,6.1,9.232046009999999e-08,3.196605069730977e-10,0.0161
162,6.2,9.285424575000001e-08,3.212484120872648e-10,0.0162
163,6.3,9.359632291e-08,3.2346015109774853e-10,0.016300000000000002
164,6.4,9.414232369e-08,3.250857365815266e-10,0.0164
165,6.5,9.448823414e-08,3.261169786472445e-10,0.0165
166,6.6,9.491095289e-08,3.2737388027836235e-10,0.0166
167,6.7,9.533993272e-08,3.286543449449317e-10,0.0167
168,6.8,9.596776133000001e-08,3.3052472945463247e-10,0.0168
169,6.9,9.626818245e-08,3.3141798934367387e-10,0.016900000000000002
170,7.0,9.681944800000001e-08,3.330650121706264e-10,0.017
171,7.1,9.722224607000001e-08,3.342683610839601e-10,0.0171
172,7.2,9.757088669e-08,3.353062208439923e-10,0.0172
173,7.3,9.789714669e-08,3.362809058516224e-10,0.0173
174,7.4,9.851632325e-08,3.3812658006938667e-10,0.0174
175,7.5,9.86247388e-08,3.384519402048268e-10,0.0175
176,7.6,9.907559749000001e-08,3.397956249489116e-10,0.0176
177,7.7,9.92936084e-08,3.4045117350259936e-10,0.0177
178,7.8,9.967991143e-08,3.416053953354248e-10,0.0178
179,7.9,1.0000951994000001e-07,2.1395621476958038e-10,0.0179
180,8.0,1.0042138899e-07,2.1476466414465152e-10,0.018000000000000002
181,8.1,1.0067720161e-07,2.1526951235364243e-10,0.018099999999999998
182,8.2,1.0122822523e-07,2.1635398312345667e-10,0.0182
183,8.3,1.0151482658999999e-07,2.1691773319369002e-10,0.0183
184,8.4,1.0183731719e-07,2.1755563191324107e-10,0.0184
185,8.5,1.0206084825e-07,2.1799669563894722e-10,0.018500000000000003
186,8.6,1.0249794474e-07,2.1885747205280333e-10,0.0186
187,8.7,1.0270050647000001e-07,2.1925555813961597e-10,0.0187
188,8.8,1.0298141019e-07,2.1980835720112717e-10,0.0188
189,8.9,1.0334155359e-07,2.205176791427404e-10,0.0189
190,9.0,1.0367611422999999e-07,2.2117647025681934e-10,0.019000000000000003
191,9.1,1.0389663527e-07,2.2161138047023777e-10,0.0191
192,9.2,1.0436320112e-07,2.2253218484663432e-10,0.019200000000000002
193,9.3,1.0437312319e-07,2.2255089419602767e-10,0.0193
194,9.4,1.0478920207000001e-07,2.23368455594466e-10,0.0194
195,9.5,1.0508112353999999e-07,2.2394623959955632e-10,0.0195
196,9.6,1.0542393985e-07,2.2462322436897492e-10,0.0196
197,9.7,1.0587277582999999e-07,2.2550735870995016e-10,0.019700000000000002
198,9.8,1.0582280698000001e-07,2.2541144924608536e-10,0.0198
199,9.9,1.0614881323000001e-07,2.2605351221769984e-10,0.0199
200,10.0,1.0655021088e-07,2.2684454764226054e-10,0.02
