,V,i,si,sV
69,-3.1,1.6172745e-11,5.6608903023665623e-11,0.0069
70,-3.0,1.8879323e-11,5.661190978144815e-11,0.007
71,-2.9,1.8980525e-11,5.662076957923348e-11,0.0071
72,-2.8,2.611041e-11,5.6640556858663684e-11,0.0072
73,-2.7,3.1948131e-11,5.665432588488585e-11,0.0073
74,-2.6,3.6240611e-11,5.665945323828537e-11,0.0074
75,-2.5,3.7472305e-11,5.6669583605530596e-11,0.0075
76,-2.4,4.5593268e-11,5.66916548142079e-11,0.007600000000000001
77,-2.3,5.1495116e-11,5.6706616357961035e-11,0.0077
78,-2.2,5.7200761e-11,5.671921047031294e-11,0.0078
79,-2.1,6.4539242e-11,5.673639970289507e-11,0.0079
80,-2.0,7.221463099999999e-11,5.676097543530892e-11,0.008
81,-1.9,8.4488606e-11,5.6788874150741234e-11,0.0081
82,-1.8,9.1836926e-11,5.680455541040165e-11,0.0082
83,-1.7,1.0290136000000001e-10,5.683307040900873e-11,0.0083
84,-1.6,1.1820037e-10,5.6868627040348115e-11,0.0084
85,-1.5,1.3614044e-10,5.690994777843741e-11,0.0085
86,-1.4,1.5849658e-10,5.696477919048542e-11,0.0086
87,-1.3,1.9948984e-10,5.705190787836537e-11,0.0087
88,-1.2,2.8956195e-10,5.724609858130849e-11,0.0088
89,-1.1,4.7034786e-10,5.7638651541150963e-11,0.0089
90,-1.0,7.9948597e-10,5.835628589479924e-11,0.009000000000000001
91,-0.9,1.33701417e-09,5.954252634199465e-11,0.0091
92,-0.8,2.4404411200000003e-09,6.203600645049336e-11,0.0092
93,-0.7,3.37257461e-09,6.420138953754229e-11,0.009300000000000001
94,-0.6,5.03285203e-09,6.816662590874932e-11,0.0094
95,-0.5,7.2650314e-09,7.369081543809561e-11,0.0095
96,-0.4,1.0514199779999999e-08,8.205503701542668e-11,0.009600000000000001
97,-0.3,1.45874963e-08,9.291378254118965e-11,0.0097
98,-0.2,1.960687386e-08,1.066964707383771e-10,0.0098
99,-0.1,2.741949669e-08,1.2872292543295626e-10,0.0099
100,0.0,3.3916223569999995e-08,1.4735762497816736e-10,0.01
101,0.1,4.0664862659999995e-08,1.6693582349421366e-10,0.0101
102,0.2,4.735697842e-08,1.864872198152698e-10,0.0102
103,0.3,5.409454008e-08,2.0627277281900176e-10,0.0103
104,0.4,6.080786317e-08,2.2605883366156865e-10,0.0104
105,0.5,6.731162729e-08,2.4528784714742865e-10,0.0105
106,0.6,7.350268795e-08,2.636349582919822e-10,0.0106
107,0.7,7.950835652e-08,2.8145795593553974e-10,0.0107
108,0.8,8.542948515e-08,2.990510996297168e-10,0.0108
109,0.9,9.112899673e-08,3.1600615899456526e-10,0.0109
110,1.0,9.647642069999999e-08,3.319278406972213e-10,0.011
111,1.1,1.0155181381000001e-07,2.168871187363755e-10,0.0111
112,1.2,1.0590515236e-07,2.2545178049259541e-10,0.0112
113,1.3,1.1099451892e-07,2.3547469570707827e-10,0.011300000000000001
114,1.4,1.1500829324e-07,2.433907564830717e-10,0.0114
115,1.5,1.1885190949e-07,2.509779255928636e-10,0.0115
116,1.6,1.2234678605e-07,2.57880448721808e-10,0.011600000000000001
117,1.7,1.2562454828000002e-07,2.6436225938586083e-10,0.0117
118,1.8,1.2903129189e-07,2.711019774356451e-10,0.0118
119,1.9,1.3205583773999998e-07,2.7708734902787476e-10,0.0119
120,2.0,1.3480593647e-07,2.8253055594529626e-10,0.012
121,2.1,1.3761089961999998e-07,2.8808634575010546e-10,0.0121
122,2.2,1.4024717029e-07,2.9331048138905655e-10,0.0122
123,2.3,1.4285915926e-07,2.9848725672312133e-10,0.0123
124,2.4,1.4635115180000002e-07,3.0540892771141626e-10,0.0124
125,2.5,1.4895383107000001e-07,3.105719310917243e-10,0.0125
126,2.6,1.5172427966e-07,3.160704586613222e-10,0.0126
127,2.7,1.5386560676e-07,3.203186643901192e-10,0.0127
